fecha,abrir,max,min,cerrar,cierre_ajustado,volumen,volatilidad,tasa_variacion,media_movil_7d,retorno_acumulado,desviacion_total
2008-01-24,51.97,57.74,51.11,56.64,54.88,,4.390185645277378,0.13234706117552975,51.57714285714285,0.9873684210526326,233.03236943430136
2008-01-25,59.95,61.75,53.0,54.06,52.38,,4.138662827532539,-0.04555084745762705,50.73142857142857,0.896842105263159,233.03236943430136
2008-01-28,43.45,46.68,40.55,42.6,41.28,,5.485561046966808,-0.21198668146503885,49.07,0.49473684210526403,233.03236943430136
2008-01-29,44.46,44.79,41.25,41.7,40.41,,6.694466371563869,-0.021126760563380254,48.54,0.4631578947368431,233.03236943430136
2008-01-30,40.8,41.0,35.96,36.11,34.99,,8.743410089890522,-0.13405275779376502,46.97714285714286,0.26701754385965004,233.03236943430136
2008-01-31,34.61,37.9,34.0,37.03,35.88,,7.156056875123284,0.02547770700636942,45.45142857142857,0.29929824561403606,233.03236943430136
2008-02-01,38.5,38.88,36.72,37.48,36.32,,2.949242275568262,0.012152308938698342,43.660000000000004,0.31508771929824664,233.03236943430136
2008-02-04,38.28,38.31,36.46,36.49,35.36,,2.262204676858174,-0.02641408751334029,40.78142857142858,0.2803508771929837,233.03236943430136
2008-02-05,35.48,38.25,34.79,36.26,35.14,,0.5700263151810926,-0.00630309673883267,38.23857142857143,0.2722807017543871,233.03236943430136
2008-02-06,37.62,37.68,33.8,33.95,32.9,,1.3664442908508578,-0.06370656370656358,37.00285714285714,0.19122807017543986,233.03236943430136
2008-02-07,33.14,34.45,31.4,31.73,30.75,,2.3231379640475183,-0.06539027982326961,35.57857142857143,0.1133333333333344,233.03236943430136
2008-02-08,32.0,32.94,31.0,31.72,30.74,,2.3268540994223925,-0.00031515915537350114,34.95142857142857,0.11298245614035185,233.03236943430136
2008-02-11,32.51,36.48,32.25,36.15,35.03,,2.2403504190190393,0.13965952080706168,34.825714285714284,0.26842105263158,233.03236943430136
2008-02-12,37.4,38.87,34.11,34.61,33.54,,1.9151553461792004,-0.04260027662517285,34.41571428571429,0.21438596491228168,233.03236943430136
2008-02-13,35.48,36.9,34.0,36.75,35.61,,2.3834890392025745,0.06183184050852364,34.45285714285715,0.28947368421052744,233.03236943430136
2008-02-14,37.3,38.41,35.0,35.39,34.29,,1.9633338992639195,-0.03700680272108847,34.32857142857143,0.2417543859649134,233.03236943430136
2008-02-15,35.27,36.3,34.43,35.79,34.68,658.0,0.804686274270241,0.011302627860977577,34.59142857142857,0.25578947368421145,233.03236943430136
2008-02-19,37.06,37.48,34.58,34.63,33.56,970.2,0.8924572818902302,-0.032411288069293054,35.00571428571429,0.21508771929824655,233.03236943430136
2008-02-20,33.75,35.43,32.91,34.58,33.51,807.6,0.8994553907776071,-0.0014438348252960864,35.41428571428572,0.21333333333333404,233.03236943430136
2008-02-21,34.9,35.19,32.98,33.15,32.12,518.1,1.010653254088089,-0.041353383458646586,34.98571428571429,0.16315789473684283,233.03236943430136
2008-02-22,33.08,33.89,32.21,33.4,32.36,456.9,1.0652933868183059,0.007541478129713397,34.81285714285714,0.17192982456140427,233.03236943430136
2008-02-25,33.32,33.99,32.67,33.83,32.78,610.6,0.6728818618441076,0.01287425149700594,34.395714285714284,0.18701754385964975,233.03236943430136
2008-02-26,33.1,34.02,32.75,33.38,32.35,575.7,0.5659240231681085,-0.013301803133313528,34.10857142857143,0.1712280701754394,233.03236943430136
2008-02-27,33.05,37.01,33.0,36.63,35.49,,1.4476083724539621,0.09736369083283392,34.228571428571435,0.28526315789473755,233.03236943430136
2008-02-28,35.92,38.41,35.92,37.38,36.22,,1.9265072021663636,0.020475020475020367,34.621428571428574,0.3115789473684216,233.03236943430136
2008-02-29,36.82,37.58,35.85,36.15,35.03,694.8,1.7687368374065453,-0.032905296950240914,34.84571428571429,0.26842105263157934,233.03236943430136
2008-03-03,38.35,39.45,37.06,37.59,36.42,,1.6926990281792464,0.03983402489626564,35.480000000000004,0.3189473684210531,233.03236943430136
2008-03-04,36.86,37.77,34.1,35.87,34.76,,0.7496532531770979,-0.04575685022612408,35.832857142857144,0.2585964912280705,233.03236943430136
2008-03-05,36.73,38.05,36.4,37.13,35.98,,0.7671245009768718,0.03512684694730983,36.30428571428571,0.3028070175438602,233.03236943430136
2008-03-06,38.27,41.8,37.82,39.24,38.02,,1.3407013090166822,0.05682736331807159,37.14142857142857,0.3768421052631583,233.03236943430136
2008-03-07,37.6,39.72,35.24,36.55,35.42,,1.2729021957711641,-0.0685524974515801,37.13,0.2824561403508774,233.03236943430136
2008-03-10,36.86,37.21,33.71,33.95,32.9,735.7,1.9232056572293548,-0.0711354309165525,36.64,0.19122807017543897,233.03236943430136
2008-03-11,35.42,36.65,34.76,36.49,35.36,727.1,1.8882319772737146,0.07481590574374075,36.688571428571436,0.2803508771929828,233.03236943430136
2008-03-12,36.5,40.0,35.96,38.83,37.63,,2.1290185532303427,0.06412715812551384,36.86571428571428,0.3624561403508775,233.03236943430136
2008-03-13,37.45,39.0,35.56,38.6,37.4,,1.9752670705499578,-0.005923255215039891,37.25571428571429,0.3543859649122809,233.03236943430136
2008-03-14,39.23,40.0,37.12,38.24,37.05,789.8,2.047112600713267,-0.00932642487046631,37.41428571428572,0.3417543859649126,233.03236943430136
2008-03-17,36.03,37.78,35.14,35.15,34.06,954.7,1.5860233289580126,-0.08080543933054407,36.83,0.2333333333333334,233.03236943430136
2008-03-18,36.56,37.75,35.79,37.23,36.08,704.9,1.50510796954872,0.05917496443812231,36.92714285714286,0.3063157894736843,233.03236943430136
2008-03-19,37.43,38.89,36.26,36.35,35.22,719.6,1.4080589476293341,-0.023636852001074238,37.269999999999996,0.2754385964912285,233.03236943430136
2008-03-20,37.08,37.5,35.74,36.35,35.22,751.4,1.1503825450688103,0.0,37.25,0.2754385964912285,233.03236943430136
2008-03-24,36.57,39.75,36.57,38.5,37.31,798.3,1.241684339918562,0.05914718019257226,37.20285714285715,0.35087719298245656,233.03236943430136
2008-03-25,39.08,40.94,37.34,40.45,39.2,,1.7349005735197243,0.05064935064935083,37.46714285714285,0.4192982456140357,233.03236943430136
2008-03-26,41.57,42.58,39.83,41.55,40.26,,2.3586012804200545,0.027194066749072876,37.94,0.4578947368421058,233.03236943430136
2008-03-27,41.71,41.72,38.75,38.89,37.68,,1.9862074413311313,-0.06401925391095054,38.47428571428571,0.36456140350877253,233.03236943430136
2008-03-28,39.47,39.75,36.89,37.04,35.89,596.5,1.7535478322529934,-0.04757006942658781,38.44714285714286,0.29964912280701816,233.03236943430136
2008-03-31,37.32,40.39,36.64,39.76,38.53,,1.7021368922619569,0.07343412526997839,38.93428571428571,0.39508771929824626,233.03236943430136
2008-04-01,40.52,40.82,38.57,40.82,39.55,,1.7587978849200376,0.026659959758551288,39.57285714285714,0.4322807017543866,233.03236943430136
2008-04-02,40.11,40.37,39.0,39.21,37.99,515.7,1.386012265457691,-0.039441450269475764,39.674285714285716,0.3757894736842111,233.03236943430136
2008-04-03,38.95,39.79,38.25,39.64,38.41,578.5,1.3922212467848547,0.010966590155572442,39.55857142857143,0.3908771929824566,233.03236943430136
2008-04-04,39.85,43.55,39.25,43.22,41.88,,1.6161373703987214,0.09031281533804236,39.79714285714285,0.5164912280701759,233.03236943430136
2008-04-07,44.11,44.4,42.75,43.7,42.35,,2.0493218390480745,0.011105969458583997,40.48428571428571,0.5333333333333339,233.03236943430136
2008-04-08,43.42,45.83,42.81,45.36,43.95,,2.6817121396599375,0.03798627002288324,41.67285714285714,0.5915789473684214,233.03236943430136
2008-04-09,46.72,46.72,43.86,45.15,43.75,,2.300169558967253,-0.00462962962962965,42.44285714285714,0.5842105263157897,233.03236943430136
2008-04-10,45.05,47.24,43.39,47.14,45.68,,1.5454060954971567,0.04407530454042097,43.34571428571429,0.6540350877192989,233.03236943430136
2008-04-11,45.65,47.4,45.02,46.49,45.05,,1.3255828906559683,-0.013788714467543484,44.38571428571429,0.6312280701754391,233.03236943430136
2008-04-14,45.8,46.79,44.69,44.69,43.3,870.8,1.0141646809073248,-0.038718003871800466,45.107142857142854,0.5680701754385968,233.03236943430136
2008-04-15,45.02,46.0,44.6,45.84,44.42,648.3,0.988519094403272,0.025732826135600906,45.48142857142857,0.6084210526315794,233.03236943430136
2008-04-16,46.9,49.35,46.73,48.98,47.46,,1.5960795719512042,0.06849912739965092,46.23571428571428,0.7185964912280707,233.03236943430136
2008-04-17,48.78,50.73,47.45,50.02,48.47,,2.223427534236276,0.021233156390363606,46.901428571428575,0.7550877192982464,233.03236943430136
2008-04-18,52.4,53.6,50.24,50.25,48.69,,2.5355137546462023,0.004598160735705736,47.629999999999995,0.7631578947368429,233.03236943430136
2008-04-21,50.25,53.24,49.5,51.84,50.23,875.2,2.2310042581761746,0.03164179104477616,48.30142857142857,0.8189473684210535,233.03236943430136
2008-04-22,51.88,52.98,50.0,50.52,48.95,562.5,1.0296698500006318,-0.02546296296296302,48.87714285714286,0.7726315789473692,233.03236943430136
2008-04-23,50.9,51.95,49.63,51.4,49.81,449.8,0.779538324907999,0.017418844022169422,49.83571428571429,0.8035087719298253,233.03236943430136
2008-04-24,50.94,52.76,48.71,51.81,50.2,796.6,0.7382614712961821,0.007976653696498026,50.688571428571436,0.8178947368421059,233.03236943430136
2008-04-25,52.12,52.49,50.85,51.9,50.29,536.6,0.5792063535566855,0.0017371163867978545,51.105714285714285,0.8210526315789479,233.03236943430136
2008-04-28,52.12,53.03,51.17,52.0,50.39,442.4,0.606860774807891,0.0019267822736031004,51.38857142857143,0.8245614035087725,233.03236943430136
2008-04-29,52.06,52.33,49.53,49.87,48.32,499.9,0.8830232160030823,-0.040961538461538494,51.33428571428572,0.7498245614035093,233.03236943430136
2008-04-30,49.87,51.25,48.0,50.58,49.01,,0.9552852976992852,0.014237016242229839,51.15428571428571,0.7747368421052638,233.03236943430136
2008-05-01,50.45,51.4,49.37,50.25,48.69,742.9,0.9738839766627151,-0.006524317912218192,51.11571428571428,0.7631578947368429,233.03236943430136
2008-05-02,51.5,52.0,49.8,49.99,48.44,553.9,0.8614928902784685,-0.005174129353233803,50.91428571428571,0.7540350877192992,233.03236943430136
2008-05-05,50.74,56.78,50.23,56.0,54.26,,2.6203377644877066,0.12022404480896176,51.51285714285715,0.9649122807017554,233.03236943430136
2008-05-06,56.2,57.25,53.0,54.75,53.05,,2.8367463756917948,-0.022321428571428603,51.92,0.9210526315789482,233.03236943430136
2008-05-07,55.56,57.56,54.0,56.05,54.31,,3.047756551957627,0.0237442922374429,52.49857142857143,0.9666666666666675,233.03236943430136
2008-05-08,56.36,57.71,54.27,55.0,53.29,,2.510193219654762,-0.01873327386262258,53.23142857142857,0.9298245614035097,233.03236943430136
